,title,director,actor0,actor1,genre0,genre1,district,rate,rm
0,我是路人甲,尔冬升,万国鹏,王婷,剧情,喜剧,中国大陆,7.4,1
1,铁拳,安东尼·福奎阿,杰克·吉伦哈尔,福里斯特·惠特克,剧情,动作,美国,7.1,1
2,我们梦中见,布雷特·海利,布莱思·丹纳,马丁·斯塔尔,剧情,喜剧,美国,7.6,1
3,少年透明人,加布里埃尔·萨瓦特瑞斯,卢多维科·吉拉尔德罗,Ludovico Girardello,奇幻,冒险,意大利,6.6,0
4,撒迦利亚,克雷格·卓贝,玛格特·罗比,克里斯·派恩,剧情,科幻,美国,6.0,0
5,非我,塔西姆·辛,瑞恩·雷诺兹,本·金斯利,科幻,悬疑,美国,6.3,0
6,唇上之歌,三木孝浩,新垣结衣,木村文乃,剧情,UNK,日本,7.5,1
7,如晴天，似雨天,弗兰克·威利,朱利安·夏特金,莉顿·梅斯特,剧情,音乐,美国,8.1,1
8,故事的故事,马提欧·加洛尼,萨尔玛·海耶克,文森特·卡索,历史,奇幻,意大利,7.4,1
9,奸臣,闵奎东,朱智勋,金康宇,剧情,情色,韩国,6.3,0
10,头脑特工队,彼特·道格特 ,艾米·波勒,菲利丝·史密斯,喜剧,动画,美国,9.0,1
11,小森林 冬春篇,森淳一,桥本爱,三浦贵大,剧情,UNK,日本,8.9,1
12,小男孩,阿加多·蒙特沃德,雅各布·萨尔瓦提,凯文·詹姆斯,剧情,喜剧,墨西哥,8.2,1
13,可爱的你,关信辉,杨千嬅,古天乐,剧情,UNK,香港,7.8,1
14,花与爱丽丝杀人事件,岩井俊二,苍井优,铃木杏,喜剧,动画,日本,8.0,1
15,百元之恋,武正晴,安藤樱,新井浩文,剧情,喜剧,日本,8.3,1
16,少年班,肖洋,孙红雷,周冬雨,剧情,喜剧,中国大陆,5.7,0
17,末日崩塌,布拉德·佩顿,道恩·强森,亚历珊德拉·达达里奥,动作,冒险,美国,7.1,1
18,深夜食堂 电影版,松冈锭司,小林薰,绫田俊树,剧情,UNK,日本,7.8,1
19,冲出康普顿,F·加里·格雷,科里·霍金斯,杰森·米切尔,剧情,音乐,美国,7.6,1
20,魔力麦克2,格里高利·雅各布,查宁·塔图姆,马特·波莫,剧情,喜剧,美国,5.9,0
21,谜城,林岭东,古天乐,余文乐,动作,惊悚,中国大陆,5.5,0
22,模仿游戏,莫滕·泰杜姆,本尼迪克特·康伯巴奇,凯拉·奈特莉,剧情,同性,英国,8.5,1
23,小羊肖恩,马克·伯顿 ,贾斯汀·弗莱彻,约翰·斯帕克斯,喜剧,动画,英国,8.5,1
24,进击的巨人真人版：前篇,樋口真嗣,三浦春马,长谷川博己,动作,科幻,日本,5.1,0
25,女间谍,保罗·费格,梅丽莎·麦卡西,杰森·斯坦森,喜剧,动作,美国,7.6,1
26,爆裂鼓手,达米安·沙泽勒,迈尔斯·特勒,J·K·西蒙斯,剧情,音乐,美国,8.6,1
